Id,Name ,SwahiliName,IsActive,MinistryId,IsPublicSector
152,Bodi ya Mamlaka ya Udhibiti wa Huduma za Maji na Nishati(ZURA),Bodi ya Mamlaka ya Udhibiti wa Huduma za Maji na Nishati(ZURA),1,24,1
153,"Mamlaka ya Udhibiti,Utafutaji na Uchimbaji wa Mafuta na Gesi Asilia ","Mamlaka ya Udhibiti,Utafutaji na Uchimbaji wa Mafuta na Gesi Asilia ",1,33,1
154,Baraza la Ushauri la Afya ya Jamii na Mazingira,Baraza la Ushauri la Afya ya Jamii na Mazingira,1,5,1
155,Mamlaka ya Viwanja vya Ndege(ZAA),Mamlaka ya Viwanja vya Ndege(ZAA),1,32,1
156,Mamlaka ya Udhibiti wa Huduma za Maji na Nishati (ZURA),Mamlaka ya Udhibiti wa Huduma za Maji na Nishati (ZURA),1,24,1
157,Bodi ya Usajili wa  Wakandarasi,Bodi ya Usajili wa  Wakandarasi,1,29,1
158,Halmashauri ya Wilaya ya Kusini,Halmashauri ya Wilaya ya Kusini,1,16,1
159,Bodi ya Kamisheni ya Ardhi,Bodi ya Kamisheni ya Ardhi,1,29,1
160,"Bodi ya Usajili Wasanifu, Wahandisi na Wakadiriaji Majengo","Bodi ya Usajili Wasanifu, Wahandisi na Wakadiriaji Majengo",1,29,1
161,Bodi ya Wakurugenzi ya Mamlaka ya Vianja vya Ndege Zanzibar,Bodi ya Wakurugenzi ya Mamlaka ya Vianja vya Ndege Zanzibar,1,32,1
162,Baraza la Chuo cha Utumishi wa Umma(IPA),Baraza la Chuo cha Utumishi wa Umma(IPA),1,22,1
163,Halmashauri ya Wilaya Kaskazini A,Halmashauri ya Wilaya Kaskazini A,1,16,1
164,Chuo cha Kilimo Kizimbani,Chuo cha Kilimo Kizimbani,1,NULL,1
165,Taasisi ya Makumbusho na Mambo ya Kale,Taasisi ya Makumbusho na Mambo ya Kale,1,27,1
166,Afisi ya Msajili wa Hakimiliki,Afisi ya Msajili wa Hakimiliki,1,26,1
167,Taasisi ya Utafiti wa Masuala ya Afya,Taasisi ya Utafiti wa Masuala ya Afya,1,5,1
168,Tume ya Utumishi ya Idara Maalum za SMZ,Tume ya Utumishi ya Idara Maalum za SMZ,1,16,1
169,Bodi ya Huduma za Maktaba,Bodi ya Huduma za Maktaba,1,19,1
170,Wakala wa Usajili Biashara na Mali,Wakala wa Usajili Biashara na Mali,0,28,1
171,Ofisi ya Mtakwimu Mkuu wa Serikali,Ofisi ya Mtakwimu Mkuu wa Serikali,1,23,1
172,Ofisi ya Baraza la Mapinduzi,Ofisi ya Baraza la Mapinduzi,1,17,1
173,Kamisheni ya Ardhi,Kamisheni ya Ardhi,1,29,1
